Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17623231,"殺手，迴光返照的命運 (殺手, #7)",Giddens Ko,"Ko, Giddens",九把刀,"=""9866000508""","=""9789866000508""",0,3.88,春天出版社,Paperback,320,2013,2013,,2024/03/26,currently-reading,currently-reading (#15),currently-reading,,,,1,0
1337973,The Diving Pool: Three Novellas,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""0312426836""","=""9780312426835""",0,3.67,Picador,Paperback,164,2008,1990,,2024/03/22,to-read,to-read (#139),to-read,,,,0,0
16032127,Revenge,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""""","=""""",0,4.02,Picador,Paperback,162,2013,1998,,2024/03/22,to-read,to-read (#138),to-read,,,,0,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",0,3.71,Pantheon,Hardcover,274,2019,1994,,2024/03/22,to-read,to-read (#137),to-read,,,,0,0
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Anna Brailovsky, Joseph Frank, Constance Garnett","=""0679642420""","=""9780679642428""",0,4.21,Modern Library,Paperback,667,2003,1869,,2024/03/15,to-read,to-read (#136),to-read,,,,0,0
2429135,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",0,4.17,Viking Canada,Hardcover,480,2008,2005,,2024/03/15,to-read,to-read (#135),to-read,,,,0,0
36394047,文藝女青年這種病，生個孩子就好了。,苏美,"苏美, 苏美",蘇美,"=""9869333605""","=""9789869333603""",0,3.69,小貓流文化,Paperback,288,2016,,,2024/02/21,to-read,to-read (#134),to-read,,,,0,0
905,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,"Gallwey, W. Timothy","Pete Carroll, Zach Kleiman","=""0679778314""","=""9780679778318""",0,4.18,Random House Trade Paperbacks,Paperback,134,1997,1974,,2024/02/20,to-read,to-read (#133),to-read,,,,0,0
152034931,Unruly: The Ridiculous History of England's Kings and Queens,David   Mitchell,"Mitchell, David",,"=""0593728491""","=""9780593728499""",0,4.13,Crown,Kindle Edition,433,2023,2023,,2024/02/20,to-read,to-read (#132),to-read,,,,0,0
65916344,Holly,Stephen        King,"King, Stephen",,"=""1668016133""","=""9781668016138""",0,4.08,Scribner,Hardcover,449,2023,2023,,2024/02/19,to-read,to-read (#131),to-read,,,,0,0
38217638,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""1501143344""","=""9781501143342""",0,4.03,Simon & Schuster,Kindle Edition,369,2018,2018,2024/01/09,2023/09/19,currently-reading,currently-reading (#14),currently-reading,,,,3,0
63241097,Murder in the Family,Cara Hunter,"Hunter, Cara",,"=""0063272075""","=""9780063272071""",3,3.72,William Morrow Paperbacks,Paperback,466,2023,2023,2024/02/01,2023/08/10,,,read,,,,1,0
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",0,4.00,W. W. Norton & Company,Paperback,240,2019,1962,,2024/02/01,to-read,to-read (#130),to-read,,,,0,0
30343686,"Fine Art of Small Talk: Conversation Starters for Business Networking and Daily Life: Small Talk, How to Network, Always Know What to Say, How to Talk",Allan Green,"Green, Allan",,"=""1517362156""","=""9781517362157""",0,3.33,CreateSpace Independent Publishing Platform,Paperback,52,2015,,,2024/01/26,to-read,to-read (#129),to-read,,,,0,0
13504493,"殺手，登峰造極的畫 (殺手, #1)",Giddens Ko,"Ko, Giddens",九把刀,"=""9867494717""","=""9789867494719""",0,3.78,春天出版社,Paperback,224,2005,2005,,2024/01/22,to-read,to-read (#128),to-read,,,,0,0
58210662,"Burning Questions: Essays and Occasional Pieces, 2004 to 2021",Margaret Atwood,"Atwood, Margaret",,"=""038554748X""","=""9780385547482""",0,4.07,Doubleday,Hardcover,496,2022,2022,,2024/01/22,to-read,to-read (#127),to-read,,,,0,0
44168694,"Journal 29: Revelation (Journal 29, #2)",Dimitris Chassapakis,"Chassapakis, Dimitris",,"=""0692183051""","=""9780692183052""",0,4.28,Rain Projects ,Paperback,148,2018,2018,,2024/01/18,to-read,to-read (#126),to-read,,,,0,0
34794475,"Journal 29 (Journal 29, #1)",Dimitris Chassapakis,"Chassapakis, Dimitris",,"=""1635871727""","=""9781635871722""",0,4.19,Primedia eLaunch LLC,Paperback,148,2017,2017,,2024/01/18,to-read,to-read (#125),to-read,,,,0,0
61674571,Found in a Bookshop,Stephanie Butland,"Butland, Stephanie",,"=""""","=""""",0,4.22,Review,Kindle Edition,385,2023,2023,,2024/01/18,to-read,to-read (#124),to-read,,,,0,0
75349380,Don’t Forget to Write,Sara Goodman Confino,"Confino, Sara Goodman",,"=""1662512236""","=""9781662512230""",0,4.49,Lake Union Publishing,Kindle Edition,334,2023,2023,,2024/01/18,to-read,to-read (#123),to-read,,,,0,0
62060274,The Echo of Old Books,Barbara  Davis,"Davis, Barbara",,"=""1542038154""","=""9781542038157""",0,4.26,Lake Union Publishing,Kindle Edition,431,2023,2023,,2024/01/18,to-read,to-read (#122),to-read,,,,0,0
78819215,The Book of Beginnings,Sally Page,"Page, Sally",,"=""0008612870""","=""9780008612870""",0,4.18,HarperCollins,Paperback,384,2023,2023,,2024/01/18,to-read,to-read (#121),to-read,,,,0,0
63040118,The Story Collector,Evie Gaughan,"Gaughan, Evie",Evie  Woods,"=""""","=""""",0,4.02,Urbane Publications,Kindle Edition,,2022,2018,,2024/01/18,to-read,to-read (#120),to-read,,,,0,0
65137920,The Lost Bookshop,Evie  Woods,"Woods, Evie",Evie Gaughan,"=""0008609209""","=""9780008609207""",0,4.02,One More Chapter/HarperCollins UK,Kindle Edition,432,2023,2023,,2024/01/18,to-read,to-read (#119),to-read,,,,0,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Olga Shartse,"=""""","=""""",0,4.07,,Paperback,82,1848,1848,,2024/01/15,to-read,to-read (#118),to-read,,,,0,0
127282881,Family Family,Laurie Frankel,"Frankel, Laurie",,"=""1250236800""","=""9781250236807""",0,3.97,Henry Holt and Co.,Hardcover,400,2024,2024,,2024/01/15,to-read,to-read (#117),to-read,,,,0,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.17,Celadon Books,Hardcover,336,2019,2019,,2024/01/15,to-read,to-read (#116),to-read,,,,0,0
62919394,Ripe,Sarah Rose Etter,"Etter, Sarah Rose",,"=""1668011638""","=""9781668011638""",0,3.60,Scribner,Hardcover,288,2023,2023,,2024/01/12,to-read,to-read (#115),to-read,,,,0,0
62226126,"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,"Osman, Richard",,"=""0241512441""","=""9780241512449""",0,4.48,Viking,Hardcover,421,2023,2023,,2024/01/12,to-read,to-read (#114),to-read,,,,0,0
58957615,"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,"Osman, Richard",,"=""0241512425""","=""9780241512425""",0,4.37,Viking,Hardcover,413,2022,2022,,2024/01/12,to-read,to-read (#113),to-read,,,,0,0
55457493,"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,"Osman, Richard",,"=""""","=""""",0,4.36,Penguin,Kindle Edition,422,2021,2021,,2024/01/12,to-read,to-read (#112),to-read,,,,0,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",0,3.87,Penguin Books,Kindle Edition,382,2020,2020,,2024/01/12,to-read,to-read (#111),to-read,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2024/01/12,to-read,to-read (#110),to-read,,,,0,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.31,Scribner,Hardcover,544,2014,2014,,2024/01/11,to-read,to-read (#109),to-read,,,,0,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",0,4.35,New York Review Books,Paperback,292,2006,1965,,2024/01/11,to-read,to-read (#108),to-read,,,,0,0
53799686,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982121602""","=""9781982121600""",3,4.17,Simon & Schuster Canada,Paperback,336,2020,2019,,2024/01/10,to-read,to-read (#107),to-read,,,,0,0
61612864,"The Book That Wouldn’t Burn (The Library Trilogy, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""0593437918""","=""9780593437919""",0,3.99,Ace,Hardcover,559,2023,2023,,2024/01/10,to-read,to-read (#106),to-read,,,,0,0
65650229,Wellness,Nathan  Hill,"Hill, Nathan",,"=""0593536118""","=""9780593536117""",0,3.98,Knopf,Hardcover,611,2023,2023,,2024/01/10,to-read,to-read (#105),to-read,,,,0,0
38728977,"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and Will Determine the Fate of the Human Race",Daniel Z. Lieberman,"Lieberman, Daniel Z.",Michael E. Long,"=""1946885118""","=""9781946885111""",0,4.14,BenBella Books,Hardcover,240,2018,2018,,2024/01/10,to-read,to-read (#104),to-read,,,,0,0
29555865,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407813""","=""9780062407818""",5,4.35,Harper Business,Kindle Edition,285,2016,2016,2024/01/09,2023/10/30,,,read,,,,1,0
13054604,The Secret History,Donna Tartt,"Tartt, Donna",,"=""""","=""""",0,4.16,Vintage,ebook,578,2011,1992,2024/01/09,2022/12/05,currently-reading,currently-reading (#13),currently-reading,,,,2,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",5,3.64,Harper Perennial,Paperback,150,2023,2010,2023/12/29,2023/12/29,,,read,,,,1,0
7070576,1415: Henry V's Year of Glory,Ian Mortimer,"Mortimer, Ian",,"=""0224079921""","=""9780224079921""",0,4.00,Bodley Head,Hardcover,640,2009,2009,,2023/12/24,to-read,to-read (#103),to-read,,,,0,0
21945052,The Hundred Years War: A People's History,David  Green,"Green, David",,"=""0300134517""","=""9780300134513""",0,3.73,Yale University Press,Hardcover,360,2014,2014,,2023/12/24,to-read,to-read (#102),to-read,,,,0,0
199235727,"The Housemaid Is Watching (The Housemaid, #3)",Freida McFadden,"McFadden, Freida",,"=""1464223319""","=""9781464223310""",0,3.87,Sourcebooks,Paperback,364,2024,2024,,2023/12/09,to-read,to-read (#101),to-read,,,,0,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,4.30,Bookouture,Kindle Edition,329,2022,2022,,2023/12/09,to-read,to-read (#100),to-read,,,,0,0
62848145,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,"=""1837901317""","=""9781837901319""",0,4.20,Bookouture,Kindle Edition,318,2023,2023,,2023/12/09,to-read,to-read (#99),to-read,,,,0,0
60660302,Everything Calls for Salvation,Daniele Mencarelli,"Mencarelli, Daniele",Wendy Wheatley,"=""1609458079""","=""9781609458072""",0,4.17,Europa Editions,Kindle Edition,176,2023,2020,,2023/12/05,to-read,to-read (#98),to-read,,,,0,0
38458438,The Houseguest and Other Stories,Amparo Dávila,"Dávila, Amparo","Matthew Gleeson, Audrey Harris","=""0811228215""","=""9780811228213""",0,3.62,New Directions,Paperback,122,2018,2018,,2023/12/05,to-read,to-read (#97),to-read,,,,0,0
91274427,What You Are Looking For Is in the Library,Michiko Aoyama,"Aoyama, Michiko",Alison Watts,"=""1335005625""","=""9781335005625""",0,4.06,Hanover Square Press,Hardcover,304,2023,2020,,2023/12/04,to-read,to-read (#96),to-read,,,,0,0
123181603,弟弟 (Traditional Chinese Edition),陳慧,"陳慧, 陳慧",,"=""6263143495""","=""9786263143494""",2,4.46,木馬文化,Kindle Edition,182,2023,,,2023/11/30,,,read,,,,1,0
23157033,海邊的卡夫卡 下,Haruki Murakami,"Murakami, Haruki","村上春樹, 賴明珠","=""9571338419""","=""9789571338415""",3,4.11,時報文化,Paperback,358,2003,,,2023/08/06,,,read,,,,1,0
49110165,Sorrow and Bliss,Meg Mason,"Mason, Meg",,"=""""","=""""",0,4.08,4th Estate - AU,Paperback,352,2021,2020,,2023/11/24,to-read,to-read (#95),to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.16,Harper Voyager,Hardcover,544,2022,2022,,2023/11/08,to-read,to-read (#94),to-read,,,,0,0
8143909,Foster,Claire Keegan,"Keegan, Claire",,"=""0571255655""","=""9780571255658""",0,4.32,Faber & Faber,Paperback,89,2010,2010,,2023/11/07,to-read,to-read (#93),to-read,,,,0,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",5,4.38,Atria Books,Hardcover,337,2014,2012,2023/11/07,2023/07/06,,,read,,,,1,0
59903149,Strong Female Character,Fern  Brady,"Brady, Fern",,"=""1914240448""","=""9781914240447""",0,4.43,Brazen,Hardcover,288,2023,2023,,2023/11/07,to-read,to-read (#92),to-read,,,,0,0
280582,"Work, Consumerism and the New Poor (Issues in Society)",Zygmunt Bauman,"Bauman, Zygmunt",,"=""033521598X""","=""9780335215980""",0,4.17,Open University Press,Paperback,144,2004,1998,,2023/10/28,to-read,to-read (#91),to-read,,,,0,0
29525489,Business Bullshit,André Spicer,"Spicer, André",,"=""1138911666""","=""9781138911666""",0,3.60,Routledge,Hardcover,212,2017,,,2023/10/16,to-read,to-read (#90),to-read,,,,0,0
65678550,The Heaven & Earth Grocery Store,James   McBride,"McBride, James",,"=""0593422945""","=""9780593422946""",0,3.93,Riverhead Books,Hardcover,385,2023,2023,,2023/10/16,to-read,to-read (#89),to-read,,,,0,0
1958425,How to Increase Your Word Power,Stuart Berg Flexner,"Flexner, Stuart Berg",,"=""0898792924""","=""9780898792928""",0,3.83,Writers Digest Books,Hardcover,540,1892,1971,,2023/10/13,to-read,to-read (#88),to-read,,,,0,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",0,4.34,Abrams Press,Hardcover,448,2019,2019,,2023/10/05,to-read,to-read (#87),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2023/10/04,to-read,to-read (#86),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.06,St. Martin's Press,Hardcover,336,2017,2017,,2023/09/26,to-read,to-read (#85),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.13,Knopf,Hardcover,401,2022,2022,,2023/09/26,to-read,to-read (#84),to-read,,,,0,0
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",0,4.28,Doubleday Books,Hardcover,390,2022,2022,,2023/09/26,to-read,to-read (#83),to-read,,,,0,0
16181775,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,"Simsion, Graeme",,"=""1476729085""","=""9781476729084""",0,4.01,Simon & Schuster,Hardcover,292,2013,2013,,2023/09/26,to-read,to-read (#82),to-read,,,,0,0
54828706,In the Kitchen: Essays on Food and Life,Juliet Annan,"Annan, Juliet","Yemisi Aribisala, Laura   Freeman, Joel Golby, Daisy Johnson, Rebecca May Johnson, Rebecca Liu, Nina Mingya Powles, Ella Risbridger, Rachel Roddy, Mayukh Sen, Ruby Tandoh, Julia Turshen","=""1911547666""","=""9781911547662""",0,4.05,Daunt Books,Paperback,177,2020,2020,,2023/09/21,to-read,to-read (#81),to-read,,,,0,0
27833843,Unnatural Causes: The Life and Many Deaths of Britain's Top Forensic Pathologist,Richard Shepherd,"Shepherd, Richard",,"=""0718182715""","=""9780718182717""",0,4.32,Michael Joseph,Hardcover,400,2018,2018,,2023/09/19,to-read,to-read (#80),to-read,,,,0,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",0,4.41,Random House,Kindle Edition,208,2016,2016,,2023/09/19,to-read,to-read (#79),to-read,,,,0,0
50364458,The Tyranny of Merit: What's Become of the Common Good?,Michael J. Sandel,"Sandel, Michael J.",,"=""0241407605""","=""9780241407608""",0,4.19,Allen Lane,Paperback,272,2020,2020,,2023/09/18,to-read,to-read (#78),to-read,,,,0,0
35510008,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,"=""""","=""""",5,4.40,Picador,ebook,285,2017,2017,2023/08/25,2023/07/23,,,read,,,,1,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.07,McGraw-Hill,Paperback,240,2002,2002,,2023/08/22,to-read,to-read (#77),to-read,,,,0,0
11966836,Below Stairs,Margaret Powell,"Powell, Margaret",,"=""1250005442""","=""9781250005441""",0,3.58,St. Martin's Press,Hardcover,212,2012,1968,,2023/08/20,to-read,to-read (#75),to-read,,,,0,0
4931,海邊的卡夫卡 上,Haruki Murakami,"Murakami, Haruki","村上春樹, 賴明珠","=""9571338400""","=""9789571338408""",4,4.19,時報文化出版企業股份有限公司,Paperback,324,2003,2002,,2023/08/06,,,read,,,,1,0
59634120,Small Worlds,Caleb Azumah Nelson,"Nelson, Caleb Azumah",,"=""024157434X""","=""9780241574348""",0,4.28,Viking,Paperback,260,2023,2023,,2023/07/14,to-read,to-read (#74),to-read,,,,0,0
105501914,Leigh Howard and the Ghosts of Simmons-Pierce Manor,Shawn M. Warner,"Warner, Shawn M.",,"=""1685130739""","=""9781685130732""",0,4.01,Black Rose Writing,Paperback,263,2022,2022,,2023/07/13,to-read,to-read (#73),to-read,,,,0,0
49788058,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""""","=""""",5,4.23,Penguin Books,Kindle Edition,331,2018,2017,2023/07/12,2023/07/01,,,read,,,,1,0
57224204,The Seven Moons of Maali Almeida,Shehan Karunatilaka,"Karunatilaka, Shehan",,"=""1908745908""","=""9781908745903""",0,3.91,Sort of Books,Hardcover,386,2022,2022,,2023/07/01,to-read,to-read (#72),to-read,,,,0,0
58891551,Young Mungo,Douglas   Stuart,"Stuart, Douglas",,"=""0802159559""","=""9780802159557""",0,4.38,Grove Press,Hardcover,390,2022,2022,,2023/06/27,to-read,to-read (#71),to-read,,,,0,0
36006302,辦公室,胡晴舫,"胡晴舫, 胡晴舫",,"=""""","=""9789867108012""",0,4.33,INK印刻出版有限公司,Paperback,191,2005,,,2023/05/21,to-read,to-read (#70),to-read,,,,0,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",0,4.13,Grove Press,Hardcover,128,2021,2021,,2023/04/29,to-read,to-read (#69),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.28,Penguin,Paperback,671,2002,1866,,2020/02/22,currently-reading,currently-reading (#11),currently-reading,,,,1,0
36666151,拾香紀,陳慧,"陳慧, 陳慧",,"=""9629923386""","=""9789629923389""",5,4.38,七字頭,Paperback,,1998,1999,2023/04/11,2023/04/09,,,read,,,,1,0
35224992,Last Night at the Telegraph Club,Malinda Lo,"Lo, Malinda",,"=""0525555250""","=""9780525555254""",0,4.21,Dutton Books for Young Readers,Hardcover,409,2021,2021,,2023/04/09,to-read,to-read (#68),to-read,,,,0,0
58040512,Normal People,Sally Rooney,"Rooney, Sally",,"=""""","=""""",4,3.81,Hogarth,Kindle Edition,279,2019,2018,2023/04/09,2020/02/22,,,read,,,,1,0
58588577,識去旅行，一定係去伊朗,Angel Ng,"Ng, Angel",伍珩,"=""""","=""9789887486978""",4,3.73,白卷出版社,Kindle Edition,212,2021,,,2023/03/20,,,read,,,,1,0
59629744,Diary of a Void,Emi Yagi,"Yagi, Emi","David  Boyd, Lucy North","=""0143136879""","=""9780143136873""",0,3.50,Viking,Hardcover,213,2022,2020,,2023/03/12,to-read,to-read (#67),to-read,,,,0,0
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",0,4.18,Vintage,Paperback,746,1989,1949,,2023/03/10,to-read,to-read (#66),to-read,,,,0,0
55468002,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""""","=""""",0,3.61,Penguin Books,Kindle Edition,301,2018,2018,,2023/02/12,currently-reading,currently-reading (#10),currently-reading,,,,1,0
59142475,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,"=""1635576822""","=""9781635576825""",0,3.71,Bloomsbury Publishing,Kindle Edition,378,2022,2022,,2023/02/16,to-read,to-read (#65),to-read,,,,0,0
60727041,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",,"=""""","=""""",0,3.92,Grapevine India,Kindle Edition,204,2022,1962,,2023/01/04,currently-reading,currently-reading (#9),currently-reading,,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",5,4.40,Atria Books,Hardcover,389,2017,2017,2022/04/25,2022/04/15,favourite,favourite (#8),read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.03,Vintage International,Paperback,123,1989,1942,,2020/08/01,favourite,favourite (#7),read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2020/02/22,favourite,favourite (#6),read,,,,1,0
48765240,"How to Feed a Dictator: Saddam Hussein, Idi Amin, Enver Hoxha, Fidel Castro, and Pol Pot Through the Eyes of Their Cooks",Witold Szabłowski,"Szabłowski, Witold",Antonia Lloyd-Jones,"=""1101993391""","=""9781101993392""",5,4.20,Penguin Books,Kindle Edition,286,2020,2019,2022/04/17,2022/04/12,favourite,favourite (#4),read,,,,1,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",4,3.94,Vintage,Paperback,255,2001,1925,2020/07/25,2020/07/25,favourite,favourite (#3),read,,,,1,0
44752307,Loveless,Alice Oseman,"Oseman, Alice",,"=""""","=""""",5,4.18,HarperCollins Children's Books,Kindle Edition,443,2020,2020,2022/01/27,2022/01/20,favourite,favourite (#2),read,,,,1,0
6631066,The Housekeeper and the Professor,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""""","=""""",5,4.05,Picador,Kindle Edition,191,2009,2003,2021/11/28,2021/11/18,favourite,favourite (#1),read,,,,1,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",1,4.11,"A Jove Book, Berkley",Paperback,356,2021,2021,,2022/12/05,dnf,dnf (#2),read,,,,1,0
58690308,Book Lovers,Emily Henry,"Henry, Emily",,"=""0593334833""","=""9780593334836""",1,4.11,Berkley,Paperback,377,2022,2022,2022/05/13,2022/02/06,dnf,dnf (#1),read,,,,1,0
